,Order Number,Finished Good,Order Size,Item_Number,Quantity,qty_on_order,fulfilled_parts
0,1,1,53,000000000000008820,1,53,True
21,1,1,53,PROC8213,2,106,True
22,1,1,53,SL10F25678,1,53,True
23,1,1,53,SPP0G54600,1,53,True
24,1,1,53,PROC8215,2,106,True
25,1,1,53,SA70K11490,2,106,True
26,1,1,53,PROC1811,1,53,True
27,1,1,53,PROC9106,2,106,True
28,1,1,53,SSW0K51546,2,106,True
29,1,1,53,SPP0G54610,1,53,True
30,1,1,53,PROC9203,2,106,True
31,1,1,53,PROC12008,1,53,True
32,1,1,53,SSW0N27927,2,106,True
34,1,1,53,SPP0G98370,1,53,True
35,1,1,53,PROC1811,2,106,True
36,1,1,53,PROC10224,1,53,True
20,1,1,53,SP10G00161,1,53,True
19,1,1,53,000000000031037296,1,53,True
33,1,1,53,SSW0N29515,1,53,True
17,1,1,53,000000000067000739,1,53,True
18,1,1,53,PROC2802,1,53,True
1,1,1,53,SSW0G43707,2,106,True
2,1,1,53,SSW0G44348,2,106,True
4,1,1,53,SSW0K51133,2,106,True
5,1,1,53,SSW0K51575,1,53,True
6,1,1,53,SSW0G44392,2,106,True
7,1,1,53,000000000031028776,1,53,True
8,1,1,53,000000000031040179,2,106,True
3,1,1,53,SSW0G44670,1,53,True
10,1,1,53,PROC10204,2,106,True
11,1,1,53,000000000031034776,1,53,True
12,1,1,53,PROC2237,1,53,True
13,1,1,53,PROC7029,1,53,True
14,1,1,53,000000000031045548,2,106,True
15,1,1,53,000000000031045550,2,106,True
9,1,1,53,000000000031503985,1,53,True
16,1,1,53,000000000031034609,1,53,True
793,2,3,5,cdb_04000018,2,10,True
794,2,3,5,000000000031501056,2,10,True
795,2,3,5,SPP0G54625,2,10,True
796,2,3,5,PROC9107,1,5,True
797,2,3,5,SPP0G99675,2,10,True
798,2,3,5,SSW0K51935,2,10,True
801,2,3,5,SPP0H55681,1,5,True
800,2,3,5,SPP0K08480,1,5,True
802,2,3,5,SPP0H55684,2,10,True
803,2,3,5,000000000067001143,1,5,True
792,2,3,5,000000000031028400,2,10,True
806,2,3,5,SSW0L97271,2,10,True
799,2,3,5,PROC3410,1,5,True
791,2,3,5,PROC7033,1,5,True
783,2,3,5,SL60K75022,1,5,True
789,2,3,5,SPP0H55681,1,5,True
788,2,3,5,PROC7320,1,5,True
777,2,3,5,SSW0G42871,1,5,True
787,2,3,5,000000000031045549,1,5,True
786,2,3,5,PROC13209,2,10,True
785,2,3,5,SD50H32746,1,5,True
784,2,3,5,cdb_49000017,1,5,True
782,2,3,5,SSW0G44585,2,10,True
781,2,3,5,SSW0G44351,1,5,True
780,2,3,5,SSW0P20662,1,5,True
779,2,3,5,SSW0G44953,1,5,True
778,2,3,5,SSW0G44836,1,5,True
805,2,3,5,PROC10338,2,10,True
790,2,3,5,PROC7109,1,5,True
804,2,3,5,SSW0N28641,2,10,True
1359,3,2,4,000000000031503243,2,8,True
1374,3,2,4,PROC10219,1,4,True
1352,3,2,4,SSW0L47695,2,8,True
1351,3,2,4,SSW0G44017,1,4,True
1350,3,2,4,SSW0G42868,1,4,True
1349,3,2,4,SSW0F63159,2,8,True
1348,3,2,4,SSW0G44678,1,4,True
1347,3,2,4,000000000000011977,1,4,True
1355,3,2,4,cdb_47000131,1,4,True
1356,3,2,4,PROC10001,1,4,True
1357,3,2,4,PROC13101,1,4,True
1358,3,2,4,000000000031034774,2,8,True
1360,3,2,4,000000000031503244,2,8,True
1375,3,2,4,PROC10938,2,8,True
1361,3,2,4,PROC11611,2,8,True
1363,3,2,4,PROC8214,2,8,True
1364,3,2,4,SPP0J33247,1,4,True
1365,3,2,4,PROC8345,1,4,True
1366,3,2,4,SM20H54472,1,4,True
1367,3,2,4,000000000031503455,2,8,True
1368,3,2,4,000000000031503456,2,8,True
1369,3,2,4,SPP0J33159,2,8,True
1370,3,2,4,SPP0M26744,1,4,True
1371,3,2,4,PROC11106,1,4,True
1372,3,2,4,PROC10958,1,4,True
1373,3,2,4,SSW0Q44609,2,8,True
1362,3,2,4,PROC8211,1,4,True
1353,3,2,4,000000000031042062,1,4,True
1354,3,2,4,cdb_50000007,2,8,True
1860,4,4,2,000000000031503454,2,4,True
1872,4,4,2,SL10F25678,1,2,True
1871,4,4,2,PROC12801,2,4,True
1870,4,4,2,SSW0N29422,1,2,True
1840,4,4,2,SSW0F82867,1,2,True
1841,4,4,2,SSW0F75749,2,4,True
1842,4,4,2,SSW0G45194,1,2,True
1843,4,4,2,000000000031045653,1,2,True
1844,4,4,2,SSW0G44390,1,2,True
1845,4,4,2,SSW0G44671,1,2,True
1846,4,4,2,SSW0K51131,2,4,True
1847,4,4,2,000000000031038890,1,2,True
1848,4,4,2,PROC3420,2,4,True
1849,4,4,2,PROC6914,1,2,True
1850,4,4,2,PROC9321,2,4,True
1873,4,4,2,SSW0Q43526,1,2,True
1851,4,4,2,PROC12008,1,2,True
1853,4,4,2,PROC14101,2,4,True
1854,4,4,2,000000000031034561,1,2,True
1855,4,4,2,PROC3726,1,2,True
1856,4,4,2,000000000031502214,1,2,True
1857,4,4,2,SDM0K33193,1,2,True
1858,4,4,2,SM20H54473,2,4,True
1859,4,4,2,PROC7704,2,4,True
1869,4,4,2,PROC10209,1,2,True
1861,4,4,2,PROC9321,2,4,True
1862,4,4,2,SP10K29485,1,2,True
1863,4,4,2,PROC11104,1,2,True
1864,4,4,2,PROC3420,2,4,True
1865,4,4,2,cdb_49000017,2,4,True
1866,4,4,2,SPP0M26744,2,4,True
1852,4,4,2,SD50H32650,1,2,True
1867,4,4,2,PROC14102,2,4,True
1868,4,4,2,PROC13209,1,2,True
69,5,1,4,SSW0N27927,2,8,True
53,5,1,4,000000000031034609,1,4,True
54,5,1,4,000000000067000739,1,4,True
67,5,1,4,PROC9203,2,8,True
55,5,1,4,PROC2802,1,4,True
56,5,1,4,000000000031037296,1,4,True
57,5,1,4,SP10G00161,1,4,True
58,5,1,4,PROC8213,2,8,True
59,5,1,4,SL10F25678,1,4,True
60,5,1,4,SPP0G54600,1,4,True
61,5,1,4,PROC8215,2,8,True
62,5,1,4,SA70K11490,2,8,True
63,5,1,4,PROC1811,1,4,True
64,5,1,4,PROC9106,2,8,True
65,5,1,4,SSW0K51546,2,8,True
66,5,1,4,SPP0G54610,1,4,True
68,5,1,4,PROC12008,1,4,True
51,5,1,4,000000000031045548,2,8,True
52,5,1,4,000000000031045550,2,8,True
49,5,1,4,PROC2237,1,4,True
70,5,1,4,SSW0N29515,1,4,True
71,5,1,4,SPP0G98370,1,4,True
72,5,1,4,PROC1811,2,8,True
73,5,1,4,PROC10224,1,4,True
37,5,1,4,000000000000008820,1,4,True
50,5,1,4,PROC7029,1,4,True
39,5,1,4,SSW0G44348,2,8,True
40,5,1,4,SSW0G44670,1,4,True
38,5,1,4,SSW0G43707,2,8,True
42,5,1,4,SSW0K51575,1,4,True
43,5,1,4,SSW0G44392,2,8,True
44,5,1,4,000000000031028776,1,4,True
45,5,1,4,000000000031040179,2,8,True
46,5,1,4,000000000031503985,1,4,True
47,5,1,4,PROC10204,2,8,True
48,5,1,4,000000000031034776,1,4,True
41,5,1,4,SSW0K51133,2,8,True
1874,6,4,3,SSW0F82867,1,3,True
1875,6,4,3,SSW0F75749,2,6,True
1876,6,4,3,SSW0G45194,1,3,True
1877,6,4,3,000000000031045653,1,3,True
1878,6,4,3,SSW0G44390,1,3,True
1881,6,4,3,000000000031038890,1,3,True
1880,6,4,3,SSW0K51131,2,6,True
1907,6,4,3,SSW0Q43526,1,3,True
1906,6,4,3,SL10F25678,1,3,True
1905,6,4,3,PROC12801,2,6,True
1904,6,4,3,SSW0N29422,1,3,True
1903,6,4,3,PROC10209,1,3,True
1902,6,4,3,PROC13209,1,3,True
1901,6,4,3,PROC14102,2,6,True
1900,6,4,3,SPP0M26744,2,6,True
1879,6,4,3,SSW0G44671,1,3,True
1897,6,4,3,PROC11104,1,3,True
1896,6,4,3,SP10K29485,1,3,True
1895,6,4,3,PROC9321,2,6,True
1894,6,4,3,000000000031503454,2,6,True
1899,6,4,3,cdb_49000017,2,6,True
1892,6,4,3,SM20H54473,2,6,True
1893,6,4,3,PROC7704,2,6,True
1883,6,4,3,PROC6914,1,3,True
1884,6,4,3,PROC9321,2,6,True
1885,6,4,3,PROC12008,1,3,True
1886,6,4,3,SD50H32650,1,3,True
1882,6,4,3,PROC3420,2,6,True
1888,6,4,3,000000000031034561,1,3,True
1889,6,4,3,PROC3726,1,3,True
1890,6,4,3,000000000031502214,1,3,True
1891,6,4,3,SDM0K33193,1,3,True
1887,6,4,3,PROC14101,2,6,True
1898,6,4,3,PROC3420,2,6,True
1927,7,4,3,PROC7704,2,6,True
1908,7,4,3,SSW0F82867,1,3,True
1909,7,4,3,SSW0F75749,2,6,True
1910,7,4,3,SSW0G45194,1,3,True
1911,7,4,3,000000000031045653,1,3,True
1912,7,4,3,SSW0G44390,1,3,True
1913,7,4,3,SSW0G44671,1,3,True
1914,7,4,3,SSW0K51131,2,6,True
1915,7,4,3,000000000031038890,1,3,True
1916,7,4,3,PROC3420,2,6,True
1928,7,4,3,000000000031503454,2,6,True
1925,7,4,3,SDM0K33193,1,3,True
