,Order Number,Finished Good,Order Size,Item_Number,Quantity,Shared_parts
0,1,1,53,000000000000008820,1,.
1,1,1,53,SSW0G43707,2,2
2,1,1,53,SSW0G44348,2,3
3,1,1,53,SSW0G44670,1,.
4,1,1,53,SSW0K51133,2,2
5,1,1,53,SSW0K51575,1,.
6,1,1,53,SSW0G44392,2,4
7,1,1,53,000000000031028776,1,.
8,1,1,53,000000000031040179,2,5
9,1,1,53,000000000031503985,1,.
10,1,1,53,PROC10204,2,2
11,1,1,53,000000000031034776,1,.
12,1,1,53,PROC2237,1,.
13,1,1,53,PROC7029,1,.
14,1,1,53,000000000031045548,2,2
15,1,1,53,000000000031045550,2,2
16,1,1,53,000000000031034609,1,.
17,1,1,53,000000000067000739,1,.
18,1,1,53,PROC2802,1,.
19,1,1,53,000000000031037296,1,.
20,1,1,53,SP10G00161,1,.
21,1,1,53,PROC8213,2,3
22,1,1,53,SL10F25678,1,.
23,1,1,53,SPP0G54600,1,.
24,1,1,53,PROC8215,2,4
25,1,1,53,SA70K11490,2,2
26,1,1,53,PROC1811,1,.
27,1,1,53,PROC9106,2,2
28,1,1,53,SSW0K51546,2,2
29,1,1,53,SPP0G54610,1,.
30,1,1,53,PROC9203,2,2
31,1,1,53,PROC12008,1,.
32,1,1,53,SSW0N27927,2,4
33,1,1,53,SSW0N29515,1,.
34,1,1,53,SPP0G98370,1,.
35,1,1,53,PROC1811,2,2
36,1,1,53,PROC10224,1,.
37,5,1,4,000000000000008820,1,.
38,5,1,4,SSW0G43707,2,2
39,5,1,4,SSW0G44348,2,3
40,5,1,4,SSW0G44670,1,.
41,5,1,4,SSW0K51133,2,2
42,5,1,4,SSW0K51575,1,.
43,5,1,4,SSW0G44392,2,4
44,5,1,4,000000000031028776,1,.
45,5,1,4,000000000031040179,2,5
46,5,1,4,000000000031503985,1,.
47,5,1,4,PROC10204,2,2
48,5,1,4,000000000031034776,1,.
49,5,1,4,PROC2237,1,.
50,5,1,4,PROC7029,1,.
51,5,1,4,000000000031045548,2,2
52,5,1,4,000000000031045550,2,2
53,5,1,4,000000000031034609,1,.
54,5,1,4,000000000067000739,1,.
55,5,1,4,PROC2802,1,.
56,5,1,4,000000000031037296,1,.
57,5,1,4,SP10G00161,1,.
58,5,1,4,PROC8213,2,3
59,5,1,4,SL10F25678,1,.
60,5,1,4,SPP0G54600,1,.
61,5,1,4,PROC8215,2,4
62,5,1,4,SA70K11490,2,2
63,5,1,4,PROC1811,1,.
64,5,1,4,PROC9106,2,2
65,5,1,4,SSW0K51546,2,2
66,5,1,4,SPP0G54610,1,.
67,5,1,4,PROC9203,2,2
68,5,1,4,PROC12008,1,.
69,5,1,4,SSW0N27927,2,4
70,5,1,4,SSW0N29515,1,.
71,5,1,4,SPP0G98370,1,.
72,5,1,4,PROC1811,2,2
73,5,1,4,PROC10224,1,.
74,17,1,2,000000000000008820,1,.
75,17,1,2,SSW0G43707,2,2
76,17,1,2,SSW0G44348,2,3
77,17,1,2,SSW0G44670,1,.
78,17,1,2,SSW0K51133,2,2
79,17,1,2,SSW0K51575,1,.
80,17,1,2,SSW0G44392,2,4
81,17,1,2,000000000031028776,1,.
82,17,1,2,000000000031040179,2,5
83,17,1,2,000000000031503985,1,.
84,17,1,2,PROC10204,2,2
85,17,1,2,000000000031034776,1,.
86,17,1,2,PROC2237,1,.
87,17,1,2,PROC7029,1,.
88,17,1,2,000000000031045548,2,2
89,17,1,2,000000000031045550,2,2
90,17,1,2,000000000031034609,1,.
91,17,1,2,000000000067000739,1,.
92,17,1,2,PROC2802,1,.
93,17,1,2,000000000031037296,1,.
94,17,1,2,SP10G00161,1,.
95,17,1,2,PROC8213,2,3
96,17,1,2,SL10F25678,1,.
97,17,1,2,SPP0G54600,1,.
98,17,1,2,PROC8215,2,4
99,17,1,2,SA70K11490,2,2
100,17,1,2,PROC1811,1,.
101,17,1,2,PROC9106,2,2
102,17,1,2,SSW0K51546,2,2
103,17,1,2,SPP0G54610,1,.
104,17,1,2,PROC9203,2,2
105,17,1,2,PROC12008,1,.
106,17,1,2,SSW0N27927,2,4
107,17,1,2,SSW0N29515,1,.
108,17,1,2,SPP0G98370,1,.
109,17,1,2,PROC1811,2,2
110,17,1,2,PROC10224,1,.
111,20,1,3,000000000000008820,1,.
112,20,1,3,SSW0G43707,2,2
113,20,1,3,SSW0G44348,2,3
114,20,1,3,SSW0G44670,1,.
115,20,1,3,SSW0K51133,2,2
116,20,1,3,SSW0K51575,1,.
117,20,1,3,SSW0G44392,2,4
118,20,1,3,000000000031028776,1,.
119,20,1,3,000000000031040179,2,5
120,20,1,3,000000000031503985,1,.
121,20,1,3,PROC10204,2,2
122,20,1,3,000000000031034776,1,.
123,20,1,3,PROC2237,1,.
124,20,1,3,PROC7029,1,.
125,20,1,3,000000000031045548,2,2
126,20,1,3,000000000031045550,2,2
127,20,1,3,000000000031034609,1,.
128,20,1,3,000000000067000739,1,.
129,20,1,3,PROC2802,1,.
130,20,1,3,000000000031037296,1,.
131,20,1,3,SP10G00161,1,.
132,20,1,3,PROC8213,2,3
133,20,1,3,SL10F25678,1,.
134,20,1,3,SPP0G54600,1,.
135,20,1,3,PROC8215,2,4
136,20,1,3,SA70K11490,2,2
137,20,1,3,PROC1811,1,.
138,20,1,3,PROC9106,2,2
139,20,1,3,SSW0K51546,2,2
140,20,1,3,SPP0G54610,1,.
