Plant,item/Component,Date,FG,Quantity
1001,000000000000011977,20171123,209MH32,1
1001,000000000000008820,20171123,209MH32,1
1001,SSW0F82867,20171123,209MH32,1
1001,SSW0G44678,20171123,209MH32,1
1001,SSW0F63159,20171123,209MH32,2
1001,SSW0G42871,20171123,209MH32,1
1001,SSW0F75749,20171123,209MH32,2
1001,SSW0G42868,20171123,209MH32,1
1001,SSW0G44836,20171123,209MH32,1
1001,SSW0G43707,20171123,209MH32,2
1001,SSW0G44017,20171123,209MH32,1
1001,SSW0G44953,20171123,209MH32,1
1001,SSW0G45194,20171123,209MH32,1
1001,SSW0L47695,20171123,209MH32,2
1001,SSW0P20662,20171123,209MH32,1
1001,000000000031045653,20171123,209MH32,1
1001,SSW0G44348,20171123,209MH32,2
1001,SSW0G44351,20171123,209MH32,1
1001,SSW0G44670,20171123,209MH32,1
1001,SSW0K51133,20171123,209MH32,2
1001,SSW0K51574,20171123,209MH32,1
1001,SSW0G44390,20171123,209MH32,1
1001,SSW0G44585,20171123,209MH32,2
1001,SSW0G44671,20171123,209MH32,1
1001,SSW0K51131,20171123,209MH32,2
1001,SSW0K51575,20171123,209MH32,1
1001,SSW0G44392,20171123,209MH32,2
1001,000000000031042062,20171123,209MH32,1
1001,cdb_50000007,20171123,209MH32,2
1001,000000000031028776,20171123,209MH32,1
1001,000000000031040179,20171123,209MH32,2
1001,SL60K75022,20171123,209MH32,1
1001,cdb_47000131,20171123,209MH32,1
1001,000000000031503985,20171123,209MH32,1
1001,PROC10001,20171123,209MH32,1
1001,000000000031038890,20171123,209MH32,1
1001,PROC3420,20171123,209MH32,2
1001,cdb_49000017,20171123,209MH32,1
1001,PROC6914,20171123,209MH32,1
1001,PROC9321,20171123,209MH32,2
1001,PROC12008,20171123,209MH32,1
1001,SD50H32650,20171123,209MH32,1
1001,SD50H32698,20171123,209MH32,2
1001,SD50H32746,20171123,209MH32,1
1001,PROC11021,20171123,209MH32,1
1001,PROC6222,20171123,209MH32,2
1001,PROC14101,20171123,209MH32,2
1001,000000000025216222,20171123,209MH32,1
1001,SM50F76959,20171123,209MH32,2
1001,PROC10204,20171123,209MH32,2
1001,PROC13101,20171123,209MH32,1
1001,PROC13209,20171123,209MH32,2
1001,000000000031034561,20171123,209MH32,1
1001,000000000031045784,20171123,209MH32,2
1001,000000000031034774,20171123,209MH32,2
1001,000000000031034776,20171123,209MH32,1
1001,PROC2237,20171123,209MH32,1
1001,PROC7029,20171123,209MH32,1
1001,000000000031503243,20171123,209MH32,2
1001,000000000031503244,20171123,209MH32,2
1001,PROC3726,20171123,209MH32,1
1001,000000000031045548,20171123,209MH32,2
1001,000000000031045549,20171123,209MH32,1
1001,000000000031045550,20171123,209MH32,2
1001,000000000031502214,20171123,209MH32,1
1001,000000000031506282,20171123,209MH32,1
1001,PROC7320,20171123,209MH32,1
1001,000000000031034609,20171123,209MH32,1
1001,000000000031045785,20171123,209MH32,1
1001,000000000067000739,20171123,209MH32,1
1001,SPP0H55681,20171123,209MH32,1
1001,000000000144002367,20171123,209MH32,1
1001,SDM0K33193,20171123,209MH32,1
1001,PROC2802,20171123,209MH32,1
1001,PROC8219,20171123,209MH32,2
1001,PROC7109,20171123,209MH32,1
1001,PROC7033,20171123,209MH32,1
1001,PROC11611,20171123,209MH32,2
1001,000000000031037296,20171123,209MH32,1
1001,SP10G00161,20171123,209MH32,1
1001,PROC8211,20171123,209MH32,1
1001,PROC8212,20171123,209MH32,1
1001,PROC8213,20171123,209MH32,2
1001,PROC8214,20171123,209MH32,2
1001,SL10F25678,20171123,209MH32,1
1001,SPP0J33247,20171123,209MH32,1
1001,000000000031028400,20171123,209MH32,2
1001,SPP0G54600,20171123,209MH32,1
