"Plant","item_Number","Date","Quantity","FG_new","FGShared"
"1001","000000000000008820","21AUG1960","1","1","."
"1001","SSW0F82867","21AUG1960","1","1","."
"1001","SSW0F63159","21AUG1960","2","1","4"
"1001","SSW0G44836","21AUG1960","1","1","."
"1001","SSW0G44017","21AUG1960","1","1","."
"1001","PROC12008","21AUG1960","1","1","."
"1001","SD50H32650","21AUG1960","1","1","."
"1001","000000000025216222","21AUG1960","1","1","."
"1001","PROC13101","21AUG1960","1","1","."
"1001","000000000031503244","21AUG1960","2","1","5"
"1001","000000000031045548","21AUG1960","2","1","3"
"1001","000000000031037296","21AUG1960","1","1","."
"1001","SL10F25678","21AUG1960","1","1","."
"1001","000000000031028400","21AUG1960","2","1","4"
"1001","PROC8215","21AUG1960","2","1","3"
"1001","000000000031501056","21AUG1960","2","1","4"
"1001","SPP0J33159","21AUG1960","2","1","3"
"1001","SSW0K51935","21AUG1960","2","1","5"
"1001","PROC3410","21AUG1960","1","1","."
"1001","PROC11105","21AUG1960","2","1","4"
"1001","PROC13209","21AUG1960","1","1","."
"1001","000000000067000739","21AUG1960","1","1","."
"1001","SPP0H55681","21AUG1960","1","1","."
"1001","SPP0G98255","21AUG1960","1","1","."
"1001","SSW0N29422","21AUG1960","1","1","."
"1001","PROC12801","21AUG1960","2","1","3"
"1001","000000000000011977","21AUG1960","1","2","."
"1001","SSW0G45194","21AUG1960","1","2","."
"1001","SSW0P20662","21AUG1960","1","2","."
"1001","SSW0K51133","21AUG1960","2","2","4"
"1001","SSW0G44390","21AUG1960","1","2","."
"1001","SSW0G44585","21AUG1960","2","2","2"
"1001","000000000031042062","21AUG1960","1","2","."
"1001","000000000031038890","21AUG1960","1","2","."
"1001","cdb_49000017","21AUG1960","1","2","."
"1001","SD50H32746","21AUG1960","1","2","."
"1001","PROC6222","21AUG1960","2","2","5"
"1001","PROC10204","21AUG1960","2","2","1"
"1001","000000000031034561","21AUG1960","1","2","."
"1001","000000000031034774","21AUG1960","2","2","3"
"1001","000000000031034776","21AUG1960","1","2","."
"1001","PROC7029","21AUG1960","1","2","."
"1001","000000000031506282","21AUG1960","1","2","."
"1001","SP10G00161","21AUG1960","1","2","."
"1001","PROC8345","21AUG1960","1","2","."
"1001","000000000031503454","21AUG1960","2","2","3"
"1001","PROC9107","21AUG1960","1","2","."
"1001","SSW0K51614","21AUG1960","1","2","."
"1001","PROC10806","21AUG1960","2","2","2"
"1001","PROC11106","21AUG1960","1","2","."
"1001","SP10K29485","21AUG1960","1","2","."
"1001","PROC11104","21AUG1960","1","2","."
"1001","SSW0N27927","21AUG1960","2","2","4"
"1001","SPP0M26744","21AUG1960","2","2","4"
"1001","SSW0N29515","21AUG1960","1","2","."
"1001","PROC10338","21AUG1960","2","2","2"
"1001","SSW0Q43526","21AUG1960","1","2","."
"1001","SSW0L47695","21AUG1960","2","3","1"
"1001","cdb_50000007","21AUG1960","2","3","1"
"1001","000000000031028776","21AUG1960","1","3","."
"1001","SL60K75022","21AUG1960","1","3","."
"1001","PROC6914","21AUG1960","1","3","."
"1001","PROC13209","21AUG1960","2","3","5"
"1001","000000000031045784","21AUG1960","2","3","4"
"1001","PROC2237","21AUG1960","1","3","."
"1001","PROC3726","21AUG1960","1","3","."
"1001","000000000031045550","21AUG1960","2","3","5"
"1001","000000000031045785","21AUG1960","1","3","."
"1001","SPP0H55681","21AUG1960","1","3","."
"1001","000000000144002367","21AUG1960","1","3","."
"1001","PROC8219","21AUG1960","2","3","2"
"1001","PROC7033","21AUG1960","1","3","."
"1001","SPP0J33247","21AUG1960","1","3","."
"1001","SM20H54473","21AUG1960","2","3","2"
"1001","SA70K11490","21AUG1960","2","3","1"
"1001","SPP0G54625","21AUG1960","2","3","2"
"1001","SSW0K51546","21AUG1960","2","3","4"
"1001","SPP0G99675","21AUG1960","2","3","2"
"1001","SPP0K08480","21AUG1960","1","3","."
"1001","SSW0N26852","21AUG1960","1","3","."
"1001","PROC14102","21AUG1960","2","3","1"
"1001","PROC10219","21AUG1960","1","3","."
"1001","SPP0H55684","21AUG1960","2","3","2"
"1001","SSW0N28641","21AUG1960","2","3","5"
"1001","PROC10938","21AUG1960","2","3","4"
"1001","SL10F25678","21AUG1960","1","3","."
"1001","SSW0L97271","21AUG1960","2","3","1"
"1001","SSW0G42871","21AUG1960","1","4","."
"1001","SSW0G42868","21AUG1960","1","4","."
"1001","SSW0G43707","21AUG1960","2","4","5"
"1001","SSW0G44348","21AUG1960","2","4","3"
"1001","SSW0K51574","21AUG1960","1","4","."
"1001","SSW0K51575","21AUG1960","1","4","."
"1001","SD50H32698","21AUG1960","2","4","4"
"1001","PROC11021","21AUG1960","1","4","."
"1001","PROC14101","21AUG1960","2","4","3"
"1001","SM50F76959","21AUG1960","2","4","2"
"1001","000000000031045549","21AUG1960","1","4","."
"1001","SDM0K33193","21AUG1960","1","4","."
"1001","PROC2802","21AUG1960","1","4","."
"1001","PROC7109","21AUG1960","1","4","."
"1001","PROC8213","21AUG1960","2","4","1"
"1001","PROC8214","21AUG1960","2","4","1"
"1001","cdb_04000018","21AUG1960","2","4","3"
"1001","SM20H54472","21AUG1960","1","4","."
"1001","PROC7704","21AUG1960","2","4","4"
"1001","PROC1811","21AUG1960","1","4","."
"1001","SPP0M26744","21AUG1960","1","4","."
"1001","SSW0K51686","21AUG1960","1","4","."
"1001","PROC9203","21AUG1960","2","4","4"
"1001","PROC12008","21AUG1960","1","4","."
"1001","cdb_49000017","21AUG1960","2","4","2"
"1001","SSW0N27719","21AUG1960","2","4","5"
"1001","SSW0N29425","21AUG1960","1","4","."
